Subject,Chapter ,No,Type,Question ,Option A,Option B,Option C,Option D,Correct Answer
English ,1,1,BLANK,The red traffic light is a u........... symbol for stop.,,,,,universal 
English ,1,2,BLANK,It is not easy to change the manners we a........  manner.,,,,,acquired
English ,1,3,BLANK,It is teachers who have the responsibility to i.......... good manners to students.,,,,,impart
English ,1,4,BLANK,I always try to arrive at my appointments on time because I value being p.......... .,,,,,punctual
English ,1,5,BLANK,"Tun Kyaw, our class monitor, always carries out his responsibilities c........... .",,,,,conscientiously
English ,2,1,BLANK,"Because of his hard work and smart ideas, his business has become p......... .",,,,,prosperous
English ,2,2,BLANK,"Sometimes, I feel e....... when I see people who have opportunities I cannot have.",,,,,envious
English ,2,3,BLANK,Exams are always s.......... for most students.,,,,,stressful
English ,2,4,BLANK,"After working the whole day in the sun, he felt great f......... .",,,,,fatigue
English ,2,5,BLANK,The c........ music made everyone at the party dance happily.,,,,,cheerful
English ,3,1,BLANK,It is claimed that a balanced diet can boost our i ......... system.,,,,,immune
English ,3,2,BLANK,It is a........ to wear a helmet while riding a bike for safety.,,,,,advisable
English ,3,3,BLANK,Human activities are the main cause of environmental d......... .,,,,,deterioration
English ,3,4,BLANK,Fried foods are not good for us because they contain s....... fat.,,,,,saturated
English ,3,5,BLANK,Those beautiful flowers are not real; they are a........ .,,,,,artificial
English ,4,1,BLANK,E.......is when we understand someone's emotions...,,,,,Empathy
English ,4,2,BLANK,"UKhin Aye always does the right things, and he is respected for his honesty and i......... .",,,,,integrity
English ,4,3,BLANK,"Finally, she realized that meditation is the best way to c...... with stress.",,,,,cope
English ,4,4,BLANK,"I am sorry, please don't take o........ at my words",,,,,offence
English ,4,5,BLANK,"While visiting a beautiful beach, I could enjoy the beauty of n...... .",,,,,nature
English ,1,6,MCQ,Everyone at school loves Zaw Aung as he is always ......... to his teachers and friends.,respected,respect ,respectful ,,C
English ,1,7,MCQ,Students should not be late for class. They must be ......... .,disciplined,punctual ,honest,,B
English ,1,8,MCQ,I really ....... you for your honesty.,respect ,accept,influence ,,A
English ,1,9,MCQ,"As a good citizen, it is important to ......... by the law.",live,abide ,stay,,B
English ,1,10,MCQ,A ......... person always fulfils their duties and obligations.,friendly,responsible,disciplined ,,B
English ,2,6,MCQ,"Owing to the global economic crisis, things are becoming more ........ .",cheap,expensive,reasonable ,,B
English ,2,7,MCQ, Money people are likely to be happy if they .......... in their careers.,success,successful,succeed,,C
English ,2,8,MCQ,"By the time you ........ some difficulties, it is important to solve them calmly.",encounter,cope with,find,,A
English ,2,9,MCQ,The local people become ......... after natural resources were discovered in their area.,prosperous,beneficial,cheerful,,A
English ,2,10,MCQ,Regular exercise can bring many ........ to our physical and mental well-being.,improvements,developments,benefits,,C
English ,3,6,MCQ,Grains such as wheat and corn are energy-giving foods that provide .......... .,minerals,carbohydrates,proteins,,B
English ,3,7,MCQ,A highly ......... diet contains many substances needed for life and growth.,balanced,nutritious,nutritional,,B
English ,3,8,MCQ,Eating processed food may cause high blood pressure because they contain .......... .,saturated fat,cholesterol,sodium,,C
English ,3,9,MCQ,We should eat balanced diet to ........ good health.,achieve,maintain,protect,,B
English ,3,10,MCQ,This book will ......... you with all the information you need.,provide,supply,give,,A
English ,4,6,MCQ,I have been working all day. I am totally ....... .,exhausted,tiring,amused,,A
English ,4,7,MCQ,Sometimes we may feel bored ............ our repeated daily routine.,with,for,at,,A
English ,4,8,MCQ,"With nothing to do all day, she was feeling ......... .",bored,worried,tired,,A
English ,4,9,MCQ,This book is very interesting and informative; I ........... it twice.,will read,have read,have been read,,B
English ,4,10,MCQ,I had a ......... dream last night. I have never dreamed like that before.,terrify,terrifying ,terrified,,B
