Subject,Chapter ,No,Type,Question ,Option A,Option B,Option C,Option D,Correct Answer
Myanmar ,1,1,TRUE_FALSE,ထိရောက်ရောက် စကားပြောဆိုရာတွင် အရေးပါသည့် သဘောတရား ၂ ခုမှာ အသံနိမ့်မြင့်နှင့် ဝါကျနိမ့်မြင့်သံများဖြစ်သည်။,မှန်,မှား,,,A
Myanmar ,1,2,TRUE_FALSE,အသံနိမ့်မြင့်နှင့် ဝါကျနိမ့်မြင့်သံများသည် မြန်မာဘာသာစကားတွင်သာ အရေးပါသည်။,မှန်,မှား,,,B
Myanmar ,1,3,TRUE_FALSE,အသံနိမ့်မြင့်နှင့် ဝါကျနိမ့်မြင့်သံများ တိမ်းစောင်းလွဲချော်ခဲ့လျှင်လည်း သတ်မှတ်ထားသော အနက်အဓိပ္ပာယ်ကို ရရှိနိုင်သည်။,မှန်,မှား,,,B
Myanmar ,1,4,TRUE_FALSE,ဘာသာစကားတိုင်းတွင် အတိမ်းအစောင်းမခံနိုင်သော သဘောတရားတစ်ခုမှာ အသံနိမ့်မြင့် ဖြစ်သည်။,မှန်,မှား,,,A
Myanmar ,1,5,TRUE_FALSE,ဝါကျနိမ့်မြင့်သံနှင့် နိမ့်မြင့်သံအဆင့်တို့ကို မှန်ကန်စွာ မသုံးစွဲနိုင်လျှင် အနက်အဓိပ္ပာယ်နှင့် စကားပြောဟန်တို့သည် အချိန်အပိုင်းအခြား အတော်များများတွင် တိမ်းစောင်းနေလိမ့်မည်။,မှန်,မှား,,,A
Myanmar ,1,6,TRUE_FALSE,ဝါကျနိမ့်မြင့်သံနှင့် နိမ့်မြင့်သံအဆင့်တို့ကို မှန်ကန်စွာ မသုံးစွဲနိုင်လျှင် အဓိပ္ပာယ်အမှားများ ထွက်ပေါ်လာနိုင်သည်။,မှန်,မှား,,,A
Myanmar ,1,7,TRUE_FALSE,အသံနိမ့်မြင့်လွဲမှားမှုကြောင့် ပြောသူနှင့် နာသူတို့တွင် ရှုပ်ထွေးမှုများ ဖြစ်ပေါ်လာသော်လည်း ညီတူမျှတူ ဖြစ်ပေါ်ခြင်းမဟုတ်ပေ။,မှန်,မှား,,,B
Myanmar ,1,8,TRUE_FALSE,အသံနိမ့်မြင့်သည် အပြောစကား၏ လေယူလေသိမ်းနှင့် ထင်ရှားပေါ်လွင်မှုကို မပေးနိုင်ပေ။,မှန်,မှား,,,B
Myanmar ,1,9,TRUE_FALSE,အသံနိမ့်မြင့်သည် စကားလုံးတစ်လုံးချင်းနှင့် ဝါကျတစ်လုံးတွင် ထင်ရှားပေါ်လွင်နေသည်။,မှန်,မှား,,,A
Myanmar ,1,10,TRUE_FALSE,ပုံမှန်နိမ့်မြင့်သံသည် အသံကြိုး၏ တုန်ခါမှုကြိမ်နှုန်းပေါ်တွင် မူတည်နေခြင်းမဟုတ်ပေ။,မှန်,မှား,,,B
Myanmar ,1,11,BLANK,အသံနိမ့်မြင့်နှင့် ဝါကျနိမ့်မြင့်သံများသည် စကားပြောဆိုရာတွင် အရေးပါသည့် သဘောတရား အနက်မှ ----------- ခု ဖြစ်သည်။,,,,,၂ခု
Myanmar ,1,12,BLANK,အသံနိမ့်မြင့်သည် ----------- မခံနိုင်သော သဘောတရားတစ်ခု ဖြစ်ပါသည်။,,,,,အတိမ်းအစောင်း
Myanmar ,1,13,BLANK,အသံနိမ့်မြင့်နှင့် ဝါကျနိမ့်မြင့်သံများ တိမ်းစောင်းလွဲချော်ခဲ့လျှင် သတ်မှတ်ထားသော ----------- ကို မရရှိတော့ပေ။,,,,,အနက်အဓိပ္ပာယ်
Myanmar ,1,14,BLANK,မှန်ကန်သော ဝါကျနိမ့်မြင့်သံနှင့် မှန်ကန်သော နိမ့်မြင့်သံအဆင့်တို့ကို မသုံးစွဲနိုင်ခဲ့လျှင် အနက်အဓိပ္ပာယ်နှင့် ----------- တို့ တိမ်းစောင်းနေလိမ့်မည်။,,,,,စကားပြောဟန်
Myanmar ,1,15,BLANK,အသံနိမ့်မြင့် ----------- သည် ပြောသူရော နာသူတွင်ပါ ရှုပ်ထွေးမှုများ ဖြစ်ပေါ်စေသည်။,,,,,လွဲမှားမှု
Myanmar ,1,16,BLANK,အသံနိမ့်မြင့်သည် ----------- ဆိုင်ရာ သဘောတရားတစ်ခုဖြစ်သည်။,,,,,စကားသံ
Myanmar ,1,17,BLANK,အသံနိမ့်မြင့်သည် အပြောစကား၏ ----------- နှင့် ထင်ရှားပေါ်လွင်မှုကို ဖန်တီးပေးပါသည်။,,,,,လေယူလေသိမ်း
Myanmar ,1,18,BLANK,အသံနိမ့်မြင့်သည် ----------- နှင့် ဝါကျတစ်ခုလုံးတွင် ထင်ရှားပေါ်လွင်နေတတ်ပါသည်။,,,,,စကားတစ်လုံးချင်း
Myanmar ,1,19,BLANK,စကားသံတစ်ခုချင်းစီ၏ ----------- သည် လှုပ်ရှားနေသော အသံကြိုးနှင့် ယင်းအသံကြိုး၏ တုန်ခါမှု ကြိမ်နှုန်းပေါ်တွင် မူတည်နေပါသည်။,,,,,ပုံမှန်နိမ့်မြင့်သံ
Myanmar ,1,20,BLANK,အသံကြိုး၏ တုန်ခါမှုကြိမ်နှုန်းသည် အသံကြိုး၏ အလျား၊ ----------- နှင့် တင်းအားတို့အပေါ်တွင် တည်မှီဖြစ်ပေါ်ပါသည်။,,,,,အထူအပါး
Myanmar ,1,21,MCQ,မည်သည့်ဘာသာစကားတွင်မဆို ----------- သည် အတိမ်းအစောင်းမခံနိုင်သော သဘောတရားတစ်ခုဖြစ်ပါသည်။,အသံအတက်အကျ,အသံနိမ့်အမြင့်,အသံတစ်ပြေးညီ,,B
